Time,Takashi Yamamoto,Takashi Yamamoto Place,Takashi Yamamoto Number,Yumi Yamamoto,Yumi Yamamoto Place,Yumi Yamamoto Number,Kazuki Sato,Kazuki Sato Place,Kazuki Sato Number,Satoshi Takahashi,Satoshi Takahashi Place,Satoshi Takahashi Number,Yusuke Mori,Yusuke Mori Place,Yusuke Mori Number,Ayumi Kimura,Ayumi Kimura Place,Ayumi Kimura Number,Haruki,Haruki Place,Haruki Number,Sakura Tanaka,Sakura Tanaka Place,Sakura Tanaka Number
7:00 AM,Takashi wakes up and completes his morning routine.,Yamamoto Residence,0,Yumi wakes up and completes her morning routine.,Yamamoto Residence,0,Kazuki Sato wakes up and completes her morning routine.,Haya Apartment 1,0,Satoshi Takahashi wakes up and completes the morning routine.,Haya Apartment 2,0,Yusuke Mori wakes up and completes the morning routine.,Haya Apartment 3,0,Ayumi Kimura wakes up and completes the morning routine.,Haya Apartment 4,0,Haruki Okinawa wakes up and completes the morning routine.,Haya Apartment 5,0,Sakura Tanaka wakes up and completes the morning routine.,Haya Apartment 6,0
8:00 AM,Takashi opens the Shino Grocery Store and prepares for the day.,Shino Grocery Store,0,<general_task>,<general_place>,0,<general_task>,<general_place>,0,<general_task>,<general_place>,0,<general_task>,<general_place>,0,<general_task>,<general_place>,0,Haruki Okinawa goes to Mizukami Shrine to conduct morning prayer.,Mizukami Shrine,0,Sakura Tanaka goes to Shino Grocery Store to buy raw materials for making medicines.,Shino Grocery Store,0
9:00 AM,<general_task>,<general_place>,0,<general_task>,<general_place>,0,<general_task>,<general_place>,0,Satoshi Takahashi visits the Shino Grocery Store.,Shino Grocery Store,0,<general_task>,<general_place>,0,Ayumi Kimura goes for a morning walk to Hanazawa Garden.,Hanazawa Garden,0,<general_task>,<general_place>,0,<general_task>,<general_place>,0
10:00 AM,Takashi helps out customers with groceries and other necessities.,Shino Grocery Store,0,"Yumi engages in house chores, tending to various tasks around the home.",Yamamoto Residence,0,<general_task>,<general_place>,0,<general_task>,<general_place>,0,<general_task>,<general_place>,0,<general_task>,<general_place>,0,<general_task>,<general_place>,0,<general_task>,<general_place>,0
11:00 AM,<general_task>,<general_place>,0,<general_task>,<general_place>,0,Kazuki Sato finishes her home assignments and prepares for her classes.,Haya Apartment 1,0,<general_task>,<general_place>,0,<general_task>,<general_place>,0,Ayumi Kimura visits the Kogaku Institute of Physics to deliver lectures on Physics.,Kogaku Institute of Physics,0,<general_task>,<general_place>,0,Sakura Tanaka visits the Kogaku Institute of Physics to study some books in library.,Kogaku Institute of Physics,0
12:00 PM,Takashi takes his lunch break.,Yamamoto Residence,0,<general_task>,<general_place>,0,"Kazuki Sato attends lectures at Kogaku Institute of Physics, immersing herself in academic learning and engaging with course material.",Kogaku Institute of Physics,0,<general_task>,<general_place>,0,Yusuke Mori eats his lunch.,Haya Apartment 3,0,<general_task>,<general_place>,0,Haruki Okinawa goes to Mizukami Shrine to conduct Afternoon prayer.,Mizukami Shrine,0,<general_task>,<general_place>,0
1:00 PM,<general_task>,<general_place>,0,"Yumi enjoys her lunch, savoring a satisfying meal.",Yamamoto Residence,0,<general_task>,<general_place>,0,Satoshi Takahashi has lunch.,Haya Apartment 2,0,Yusuke Mori visits the Kogaku Institute of Physics for examining and repairing furniture.,Kogaku Institute of Physics,0,<general_task>,<general_place>,0,Haruki Okinawa has lunch at Haya Apartments 6.,Haya Apartment 6,0,<general_task>,<general_place>,0
2:00 PM,Takashi assists customers at Shino Grocery Store,Shino Grocery Store,0,<general_task>,<general_place>,0,Kazuki Sato takes a break and enjoys a well-deserved lunch.,,0,<general_task>,<general_place>,0,<general_task>,<general_place>,0,<general_task>,<general_place>,0,<general_task>,<general_place>,0,<general_task>,<general_place>,0
3:00 PM,<general_task>,<general_place>,0,Yumi Goes to have afternoon nap,Yamamoto Residence,0,<general_task>,<general_place>,0,<general_task>,<general_place>,0,<general_task>,<general_place>,0,Ayumi Kimura goes to the Shino Grocery Store to buy groceries.,Shino Grocery Store,0,<general_task>,<general_place>,0,Sakura Tanaka Goes to Shino Grocery Store to read comics.,Shino Grocery Store,0
4:00 PM,Takashi closes the Shino Grocery Shop for the day.,Shino Grocery Store,0,<general_task>,<general_place>,0,<general_task>,<general_place>,0,Satoshi Takahashi does gardening.,Hanazawa Garden,0,Yusuke Mori visits Hanazawa Garden for maintenance of the fencing.,,0,<general_task>,<general_place>,0,<general_task>,<general_place>,0,<general_task>,<general_place>,0
